nev;cimsor;varos;irsz;szul;magassag
Muladi Tamás;Iskola utca 4.;Szeged;6725;2045.04.13;151
Menyhárt Erika;Eke utca 61.;Kecsekmét;6000;2060.01.22;168
Kollányi Bence Miklós;Agyag u. 5.;Szeged;6721;2075.03.07;164
Saja Boglárka;Táncsics M. u. 30. 3/IV/1.;Hódmezővásárhely;6800;2058.09.15;177
Varga Ilona;Jókai utca 36.;Szeged;6720;2080.11.17;159
Bálint Judit;Takács Ferenc u. 6.;Szeged;6721;2049.10.10;151
Maczelka Ferenc;Kossuth u. 165.;Kecsekmét;6000;2086.08.31;152
Elekes Magdolna;Pacsirta u.7.;Szeged;6722;2060.07.25;164
Igaz Éva;Pálffy u. 61.;Szeged;6721;2079.07.29;160
Puruczkai Ádám Géza;Nefelejcs u. 6;Szeged;6725;2081.06.25;164
Turi Petra;Bibó Lajos utca 23/1;Szeged;6725;2053.07.07;164
Szekeres Éva Zsuzsanna;Rákóczi Ferenc utca 35.;Szeged;6725;2092.04.12;171
Bárány Ilona;Nyár u. 60.;Szeged;6710;2043.03.15;168
Herczeg Erika;Vörösmarty u. 28.;Kecsekmét;6000;2081.06.16;160
Szalárdi Ildikó;Kohán Gy. U. 7. A lh.III.e.7.;Szeged;6720;2070.03.22;159
Stuller Tamás Viktor;Ady Endre út. 4.;Kecsekmét;6000;2068.09.28;177
Berta Erzsébet;Hegedűs István utca 23.;Szeged;6720;2078.07.10;151
Benkő Beatrix;Rekettye utca 22.;Szeged;6725;2061.05.04;163
Farkas György;Muskátli u. 5 .1/4;Kecsekmét;6000;2067.11.09;178
Ungi Judit Erzsébet;Éva utca 10.III. 7.;Szeged;6710;2091.09.31;152
Sebesy Róbert;Orgona u. 10.;Szeged;6710;2055.09.28;160
Katona Dominik;Vaskapu u.36.;Kecsekmét;6000;2077.10.16;174
Rusak Sandor;Almássy utca 16.;Szeged;6721;2074.07.15;165
Kocsis Kristóf;Vörösmarty u. 28.;Szeged;6720;2077.10.06;169
Albert Krisztián;IV.Körzet Tanya 73.;Szeged;6721;2052.11.16;156
Székesi Attila;Kiss Ernő u. 63.;Szeged;6721;2062.07.11;165
Vass István;Klauzál u.51.;Szeged;6710;2050.05.28;160
Zsibók Erika;Debreceni u. 1/b.;Hódmezővásárhely;6800;2077.09.21;157
Lencse Éva;Batida Gárdonyi u. 1.;Kecsekmét;6000;2054.09.13;169
Tatár Ildikó Ilona;Szent László u. 17.;Szeged;6725;2056.11.15;157
Vincze Éva;Szabadság tér 84. II.lh. 3/3.;Szeged;6721;2056.11.28;174
Rónai Rudolf;Visszhang u. 26.;Hódmezővásárhely;6800;2072.09.10;171
Horváth Petra;József A. u. 5.;Szeged;6722;2087.07.29;156
Sajtos Ida Klára;Szent László utca 142.;Szeged;6722;2045.01.23;157
Graur Csaba István;Kemény utca 4.;Szeged;6710;2090.05.12;179
Kovács Anikó Ildikó;Zrínyi u. 12-14. 4/32.;Szeged;6720;2078.09.26;155
Bencsik Ida;Rárósi utca 32.;Hódmezővásárhely;6800;2080.01.20;150
Korsós Tamás;Kistópart utca 7. V. e. 18.a;Hódmezővásárhely;6800;2065.11.04;157
Németh Dávid;Kaszap utca 7. X/57.;Szeged;6722;2090.06.15;157
Katona Róbert;Mandula u. 15.;Szeged;6720;2083.10.13;165
Losonczi Irén;Kossuth L. u. 50.;Szeged;6721;2051.09.23;158
Tamási Krisztián;Illyés Gyula utca 25.;Szeged;6722;2061.05.18;153
Kiss Rozália;Tópart u. 6.;Szeged;6710;2057.11.08;162
Godács Rozália Zsuzsanna;Bajcsy-Zs. Utca 6.;Szeged;6710;2045.11.06;152
Raffai Teodora;Csengettyű köz 14.IX.26.;Szeged;6725;2056.02.06;162
Hegedűs Sándor;Bajza utca 32.;Szeged;6720;2056.01.29;170
Dinnyés Erzsébet Ilona;Agyag utca 40.;Kecsekmét;6000;2089.10.02;173
Szépe Martin Márk;Vívó u. 8.;Szeged;6710;2079.09.19;177
Németh Mária;Petőfi u. 27.;Szeged;6722;2061.03.02;157
Varga Anikó Gabriella;Rákóczi Ferenc utca 76/a;Kecsekmét;6000;2042.07.03;159
Bodré Ádám István;Stark Adolf u. 3.;Hódmezővásárhely;6800;2065.09.04;176
Gémes Mihály Tamás;Ifjúsági sétány 6.;Kecsekmét;6000;2043.11.12;158
Hódi Roland;Bajcsy-Zsilinszky E. u. 53. II. em. 8.;Szeged;6720;2059.08.05;156
Szabó Gábor László;Ady u. 12.;Szeged;6725;2080.11.10;155
Papp Norbert;Szabadság tér 86 II.e.7.;Kecsekmét;6000;2076.06.26;177
Pölös Dávid;Juhász Mihály u. 13.;Szeged;6710;2054.06.11;152
Kezes Gabriella;Petőfi Sándor u. 20/A;Szeged;6725;2070.10.19;165
Budai Benjámin;Kaszap u. 15. 9/49.;Szeged;6710;2080.10.18;167
Rozgonyi Martin Ferenc;Hegedűs István utca 23.;Szeged;6725;2045.09.25;155
Ádok Sára Lídia;Nyárfa u. 48.;Szeged;6722;2044.05.05;163
Rehák Mariann;Késmárk u. 2/A;Hódmezővásárhely;6800;2061.05.28;180
Angyal Ramóna Kitti;Kontra u. 58.;Kecsekmét;6000;2043.02.02;167
Papp Gyöngyi;Kossuth Lajos u. 3.;Szeged;6722;2062.02.17;170
Táczi-Szabó Katalin;Vasvári u. 5.;Szeged;6720;2068.08.11;164
Tomasev Gorán;Bálint utca 16.;Szeged;6720;2055.06.19;166
Neményi Edit Gizella;Bem u. 18.;Szeged;6721;2050.09.29;173
Nagy Alexandra;Szúnyog utca 20.;Szeged;6710;2044.09.28;178
Erhardt Anna;Kard u. 6.;Szeged;6725;2073.04.27;155
Kovács Tamás;Lehel u.27.;Szeged;6725;2083.03.25;161
Csáki Ilona Margit;Lehel u.27.;Szeged;6721;2061.02.15;153
Hős Gabriella;Bercsényi u. 32.;Szeged;6720;2057.11.11;157
Juhász Márta;Tanya 844.;Szeged;6722;2085.08.25;169
Bitó Anita Erika;Csillag utca 14.;Hódmezővásárhely;6800;2058.01.14;162
Bordás Margit;Vörösmarty u. 28.;Hódmezővásárhely;6800;2076.09.23;179
Kocsis Ábel;Tanya 1024.;Kecsekmét;6000;2057.02.19;171
Rácz-Balog Gábor;Felhő u.8.;Kecsekmét;6000;2086.01.06;152
Szávka Mária;Gellért utca 56.;Kecsekmét;6000;2075.01.14;154
Vágvölgyi Katalin;Kodály Zoltán utca 11.;Szeged;6720;2069.05.02;176
Márta Mária;Tápai u. 43. V. 14.;Szeged;6725;2047.05.05;175
Bujáki Barnabás;Jókai utca 147.;Szeged;6721;2049.07.16;155
Kovács Tünde;Árpád utca 2.;Szeged;6720;2089.02.03;151
Presztóczki Irén Julianna;Kistópart u.3.;Szeged;6721;2072.07.22;170
Ménesi Erzsébet;Dohány u.2.;Szeged;6720;2067.11.27;179
Csikós Attila Richárd;Kistópart utca 94.;Szeged;6720;2073.04.11;173
Barcsik Richárd Menyhért;Gellért u. 5.;Kecsekmét;6000;2057.02.23;152
Kallai Brigitta;Juhász Mihály u. 13.;Szeged;6725;2088.02.19;167
Papp Ildikó;Gorkij u. 36.;Szeged;6721;2079.11.15;177
Bakos Ágnes;Bárány u. 43/a;Hódmezővásárhely;6800;2076.09.12;168
Marti Zoltán;Bánk Bán u. 68.;Szeged;6722;2090.07.11;154
Lázár Tamás;Pacsirta utca 48.;Szeged;6722;2053.09.24;154
Agárdi Éva;Berkenye u. 32.;Szeged;6721;2077.02.14;178
Búza Irén;Petőfi utca 1.;Szeged;6721;2091.09.28;174
Gócsa Éva;Ingó Szőlő utca 7.;Szeged;6720;2059.06.21;159
Pinczés Ágnes;Görbe u. 85.;Szeged;6725;2090.07.19;169
Gyermán Dániel;Kontra u. 58.;Kecsekmét;6000;2050.11.25;171
Kun Csaba Ferenc;Királyszék u. 8.;Szeged;6710;2073.01.27;170
Lázár Etelka;Makói u. 6.;Hódmezővásárhely;6800;2060.03.10;172
